Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-20.301,3, 0.0477901,0.014653,15084, Foreign,0, 
12-21-2022-23-05-20.401,3, 0.0920524,0.028648,15084, Foreign,0, 
12-21-2022-23-05-20.502,3, 0.1015916,0.031925,15084, Foreign,0, 
12-21-2022-23-05-20.602,3, 0.0945566,0.036277,15084, Foreign,0, 
12-21-2022-23-05-20.810,3, 0.0783566,0.020291,15084, Foreign,0, 
12-21-2022-23-05-20.910,3, 0.1071369,0.033837,15084, Foreign,0, 
12-21-2022-23-05-20.708,3, 0.3615546,0.021364,15084, Foreign,0, 
12-21-2022-23-05-21.017,3, 0.067014,0.017187,15084, Foreign,0, 
12-21-2022-23-05-21.123,3, 0.0855256,0.026369,15084, Foreign,0, 
12-21-2022-23-05-21.230,3, 0.0904596,0.027079,15084, Foreign,0, 
12-21-2022-23-05-21.431,3, 0.120818,0.030204,15084, Foreign,0, 
12-21-2022-23-05-21.531,3, 0.0944674,0.02892,15084, Foreign,0, 
12-21-2022-23-05-21.733,3, 0.1115348,0.027562,15084, Foreign,0, 
12-21-2022-23-05-21.632,3, 0.2221148,0.034115,15084, Foreign,0, 
12-21-2022-23-05-21.949,3, 0.0978178,0.028706,15084, Foreign,0, 
12-21-2022-23-05-22.164,3, 0.0644099,0.019875,15084, Foreign,0, 
12-21-2022-23-05-22.265,3, 0.1033476,0.029418,15084, Foreign,0, 
12-21-2022-23-05-22.369,3, 0.1224708,0.039375,15084, Foreign,0, 
12-21-2022-23-05-22.057,3, 0.4687329,0.03834,15084, Foreign,0, 
12-21-2022-23-05-22.572,3, 0.1150328,0.035519,15084, Foreign,0, 
12-21-2022-23-05-22.470,3, 0.373242,0.027232,15084, Foreign,0, 
12-21-2022-23-05-22.672,3, 0.1983264,0.025522,15084, Foreign,0, 
12-21-2022-23-05-22.774,3, 0.0972565,0.035151,15084, Foreign,0, 
12-21-2022-23-05-21.840,3, 1.0934648,0.026678,6348, Foreign,0, 
12-21-2022-23-05-22.877,3, 0.1003683,0.032078,15084, Foreign,0, 
12-21-2022-23-05-21.331,3, 1.9099824,0.040247,6348, Foreign,0, 
12-21-2022-23-05-22.978,3, 0.4874402,0.048432,15084, Foreign,0, 
12-21-2022-23-05-23.392,3, 0.1304785,0.04535,15084, Foreign,0, 
12-21-2022-23-05-23.696,3, 0.1039939,0.036774,15084, Foreign,0, 
12-21-2022-23-05-23.083,3, 0.8030248,0.039167,15084, Foreign,0, 
