Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-20.301,1, 0.0162056,0.018793,110482, SelfUp,0, 
12-21-2022-23-05-20.301,1, 0.0196116,0.013867,16285, SelfDown,0, 
12-21-2022-23-05-20.401,1, 0.026981,0.023144,31792, SelfDown,0, 
12-21-2022-23-05-20.401,1, 0.0307277,0.022368,339371, SelfUp,0, 
12-21-2022-23-05-20.502,1, 0.0359649,0.033913,520857, SelfUp,0, 
12-21-2022-23-05-20.502,1, 0.0638527,0.032893,42013, SelfDown,0, 
12-21-2022-23-05-20.602,1, 0.0417531,0.034629,664323, SelfUp,0, 
12-21-2022-23-05-20.602,1, 0.0915168,0.030122,48346, SelfDown,0, 
12-21-2022-23-05-20.708,1, 0.0214033,0.021312,51668, SelfDown,0, 
12-21-2022-23-05-20.708,1, 0.0298051,0.026598,763953, SelfUp,0, 
12-21-2022-23-05-20.810,1, 0.0185629,0.022268,893470, SelfUp,0, 
12-21-2022-23-05-20.810,1, 0.0193942,0.0184,54588, SelfDown,0, 
12-21-2022-23-05-20.910,1, 0.0305703,0.031526,58536, SelfDown,0, 
12-21-2022-23-05-20.910,1, 0.0394191,0.032504,1002965, SelfUp,0, 
12-21-2022-23-05-21.017,1, 0.0142125,0.035299,61681, SelfDown,0, 
12-21-2022-23-05-21.017,1, 0.014728,0.028014,1132167, SelfUp,0, 
12-21-2022-23-05-21.123,1, 0.0243056,0.025652,66230, SelfDown,0, 
12-21-2022-23-05-21.123,1, 0.0261321,0.02925,1169408, SelfUp,0, 
12-21-2022-23-05-21.230,1, 0.0289964,0.031058,1169408, SelfUp,0, 
12-21-2022-23-05-21.230,1, 0.0549318,0.021878,71114, SelfDown,0, 
12-21-2022-23-05-21.331,1, 0.0411213,0.030948,1169408, SelfUp,0, 
12-21-2022-23-05-21.331,1, 0.0647888,0.030952,160486, SelfUp,1, 
12-21-2022-23-05-21.331,1, 0.0713035,0.026061,74843, SelfDown,0, 
12-21-2022-23-05-21.331,1, 0.1073894,0.025711,16075, SelfDown,1, 
12-21-2022-23-05-21.431,1, 0.0294686,0.024503,257391, SelfUp,1, 
12-21-2022-23-05-21.431,1, 0.0319762,0.033064,1169408, SelfUp,0, 
12-21-2022-23-05-21.431,1, 0.0793521,0.032762,77901, SelfDown,0, 
12-21-2022-23-05-21.431,1, 0.0825589,0.030654,16742, SelfDown,1, 
12-21-2022-23-05-21.531,1, 0.0284941,0.027958,1169408, SelfUp,0, 
12-21-2022-23-05-21.531,1, 0.0590036,0.03003,18599, SelfDown,1, 
12-21-2022-23-05-21.531,1, 0.0636129,0.033963,286999, SelfUp,1, 
12-21-2022-23-05-21.531,1, 0.0891525,0.037103,80677, SelfDown,0, 
12-21-2022-23-05-21.632,1, 0.0312337,0.02812,371679, SelfUp,1, 
12-21-2022-23-05-21.632,1, 0.0335002,0.017402,82585, SelfDown,0, 
12-21-2022-23-05-21.632,1, 0.0374867,0.029223,1170432, SelfUp,0, 
12-21-2022-23-05-21.632,1, 0.1064029,0.036551,23956, SelfDown,1, 
12-21-2022-23-05-21.733,1, 0.0241608,0.030919,500554, SelfUp,1, 
12-21-2022-23-05-21.733,1, 0.0241608,0.034398,83315, SelfDown,0, 
12-21-2022-23-05-21.733,1, 0.02516,0.030131,1170432, SelfUp,0, 
12-21-2022-23-05-21.733,1, 0.0309211,0.027028,27073, SelfDown,1, 
12-21-2022-23-05-21.840,1, 0.0402473,0.031782,1170432, SelfUp,0, 
12-21-2022-23-05-21.840,1, 0.0880147,0.037001,677184, SelfUp,1, 
12-21-2022-23-05-21.840,1, 0.1136845,0.035745,89730, SelfDown,0, 
12-21-2022-23-05-21.840,1, 0.1156831,0.035398,33457, SelfDown,1, 
12-21-2022-23-05-21.949,1, 0.0276309,0.036648,688869, SelfUp,1, 
12-21-2022-23-05-21.949,1, 0.0276309,0.034504,1170432, SelfUp,0, 
12-21-2022-23-05-21.949,1, 0.0864863,0.02687,90605, SelfDown,0, 
12-21-2022-23-05-21.949,1, 0.0892828,0.032819,35783, SelfDown,1, 
12-21-2022-23-05-22.057,1, 0.0347694,0.035565,840167, SelfUp,1, 
12-21-2022-23-05-22.057,1, 0.0347694,0.037496,1170432, SelfUp,0, 
12-21-2022-23-05-22.057,1, 0.1329074,0.04401,92782, SelfDown,0, 
12-21-2022-23-05-22.165,1, 0.0352072,0.037496,1170432, SelfUp,0, 
12-21-2022-23-05-22.164,1, 0.0388336,0.035565,851815, SelfUp,1, 
12-21-2022-23-05-22.057,1, 0.1506579,0.026524,37857, SelfDown,1, 
12-21-2022-23-05-22.165,1, 0.0951786,0.035499,28751, SelfDown,1, 
12-21-2022-23-05-22.165,1, 0.1244675,0.032831,66270, SelfDown,0, 
12-21-2022-23-05-22.265,1, 0.0277138,0.035013,954421, SelfUp,1, 
12-21-2022-23-05-22.265,1, 0.0277138,0.02646,1170432, SelfUp,0, 
12-21-2022-23-05-22.265,1, 0.0357141,0.031728,29096, SelfDown,1, 
12-21-2022-23-05-22.265,1, 0.0507134,0.032831,66270, SelfDown,0, 
12-21-2022-23-05-22.369,1, 0.0375898,0.036241,65520, SelfUp,2, 
12-21-2022-23-05-22.369,1, 0.0375898,0.033773,1063498, SelfUp,1, 
12-21-2022-23-05-22.369,1, 0.0375898,0.034296,1170432, SelfUp,0, 
12-21-2022-23-05-22.369,1, 0.1145804,0.036684,68975, SelfDown,0, 
12-21-2022-23-05-22.369,1, 0.1167112,0.034554,32655, SelfDown,1, 
12-21-2022-23-05-22.470,1, 0.0224798,0.034903,69066, SelfDown,0, 
12-21-2022-23-05-22.470,1, 0.0224798,0.032709,33659, SelfDown,1, 
12-21-2022-23-05-22.470,1, 0.0224798,0.03525,1170432, SelfUp,1, 
12-21-2022-23-05-22.470,1, 0.0237442,0.026019,181323, SelfUp,2, 
12-21-2022-23-05-22.470,1, 0.0285633,0.032468,1170432, SelfUp,0, 
12-21-2022-23-05-22.369,1, 0.207712,0.03195,14560, SelfDown,2, 
12-21-2022-23-05-22.572,1, 0.0351027,0.03458,1170432, SelfUp,0, 
12-21-2022-23-05-22.470,1, 0.1564291,0.032737,14562, SelfDown,2, 
12-21-2022-23-05-22.572,1, 0.0689109,0.033176,267395, SelfUp,2, 
12-21-2022-23-05-22.572,1, 0.0772084,0.035639,1170432, SelfUp,1, 
12-21-2022-23-05-22.572,1, 0.1100331,0.036455,24396, SelfDown,1, 
12-21-2022-23-05-22.572,1, 0.1120347,0.033642,14569, SelfDown,2, 
12-21-2022-23-05-22.572,1, 0.1140325,0.03178,71665, SelfDown,0, 
12-21-2022-23-05-22.672,1, 0.0185096,0.028284,71862, SelfDown,0, 
12-21-2022-23-05-22.672,1, 0.0195271,0.020833,288511, SelfUp,2, 
12-21-2022-23-05-22.672,1, 0.0195401,0.029433,24400, SelfDown,1, 
12-21-2022-23-05-22.672,1, 0.0195401,0.029406,1170432, SelfUp,0, 
12-21-2022-23-05-22.672,1, 0.029378,0.033499,1170432, SelfUp,1, 
12-21-2022-23-05-22.672,1, 0.0931263,0.033627,14578, SelfDown,2, 
12-21-2022-23-05-22.774,1, 0.0771208,0.035068,1170432, SelfUp,1, 
12-21-2022-23-05-22.774,1, 0.0967284,0.035202,319870, SelfUp,2, 
12-21-2022-23-05-22.774,1, 0.1038742,0.035568,26803, SelfDown,1, 
12-21-2022-23-05-22.774,1, 0.1068321,0.035707,15942, SelfDown,2, 
12-21-2022-23-05-22.774,1, 0.1073928,0.035507,80510, SelfDown,0, 
12-21-2022-23-05-22.877,1, 0.0232282,0.02252,86516, SelfDown,0, 
12-21-2022-23-05-22.877,1, 0.0232282,0.03403,27892, SelfDown,1, 
12-21-2022-23-05-22.877,1, 0.0239077,0.026537,1170432, SelfUp,1, 
12-21-2022-23-05-22.877,1, 0.0245419,0.029175,327460, SelfUp,2, 
12-21-2022-23-05-22.774,1, 0.1441112,0.028545,1170432, SelfUp,0, 
12-21-2022-23-05-22.877,1, 0.0420124,0.028545,1170432, SelfUp,0, 
12-21-2022-23-05-22.877,1, 0.090105,0.033156,19278, SelfDown,2, 
