Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
12-21-2022-23-05-21.200,5.4254849648456566e+07, 0, Download, 
12-21-2022-23-05-21.200,1.6863691806566874e+06, 0, Upload, 
12-21-2022-23-05-22.201,4.567416432308675e+07, 0, Download, 
12-21-2022-23-05-22.201,1.0164976867270878e+07, 1, Download, 
12-21-2022-23-05-22.201,1.5386627356617309e+06, 0, Upload, 
12-21-2022-23-05-22.201,1.0639689129575798e+06, 1, Upload, 
12-21-2022-23-05-23.201,3.2830315807494193e+07, 0, Download, 
12-21-2022-23-05-23.201,3.025686606275302e+07, 1, Download, 
12-21-2022-23-05-23.201,2.802946138995521e+06, 2, Download, 
12-21-2022-23-05-23.201,1.0157795581723712e+06, 0, Upload, 
12-21-2022-23-05-23.201,1.2942997596067311e+06, 1, Upload, 
12-21-2022-23-05-23.201,1.1142626483100515e+06, 2, Upload, 
12-21-2022-23-05-24.201,3.2456196396235745e+07, 0, Download, 
12-21-2022-23-05-24.201,2.9623594672279112e+07, 1, Download, 
12-21-2022-23-05-24.201,4.0939711895572636e+06, 2, Download, 
12-21-2022-23-05-24.201,1.7849936048317803e+06, 3, Download, 
12-21-2022-23-05-24.202,1.14631532507087e+06, 0, Upload, 
12-21-2022-23-05-24.202,671413.2618272238, 1, Upload, 
12-21-2022-23-05-24.202,1.1135634586402737e+06, 2, Upload, 
12-21-2022-23-05-24.202,900676.3268413979, 3, Upload, 
12-21-2022-23-05-25.202,2.97646620873122e+07, 0, Download, 
12-21-2022-23-05-25.202,3.1184958593686145e+07, 1, Download, 
12-21-2022-23-05-25.202,3.961440838602008e+06, 2, Download, 
12-21-2022-23-05-25.202,2.14446715762577e+06, 3, Download, 
12-21-2022-23-05-25.202,0, 4, Download, 
12-21-2022-23-05-25.202,1.4580828285072583e+06, 0, Upload, 
12-21-2022-23-05-25.202,966594.2346284073, 1, Upload, 
12-21-2022-23-05-25.202,1.1794088158921371e+06, 2, Upload, 
12-21-2022-23-05-25.202,1.0483633919041217e+06, 3, Upload, 
12-21-2022-23-05-25.202,606085.0859445704, 4, Upload, 
12-21-2022-23-05-26.202,3.2291617469422396e+07, 0, Download, 
12-21-2022-23-05-26.202,2.4146271347528435e+07, 1, Download, 
12-21-2022-23-05-26.202,3.538421926503357e+06, 2, Download, 
12-21-2022-23-05-26.202,1.8347772917642621e+06, 3, Download, 
12-21-2022-23-05-26.202,3.01432326103792e+06, 4, Download, 
12-21-2022-23-05-26.202,2.5391563629746023e+06, 5, Download, 
12-21-2022-23-05-26.202,442268.3127223124, 0, Upload, 
12-21-2022-23-05-26.202,556930.4678725415, 1, Upload, 
12-21-2022-23-05-26.202,704451.0649828789, 2, Upload, 
12-21-2022-23-05-26.202,1.2614588838065506e+06, 3, Upload, 
12-21-2022-23-05-26.202,688068.4820763003, 4, Upload, 
12-21-2022-23-05-26.202,1.130398220553922e+06, 5, Upload, 
12-21-2022-23-05-27.211,0, 0, Upload, 
12-21-2022-23-05-27.211,1.0395228990246839e+06, 1, Upload, 
12-21-2022-23-05-27.211,828369.810160295, 2, Upload, 
12-21-2022-23-05-27.211,1.0557654443219446e+06, 3, Upload, 
12-21-2022-23-05-27.211,795884.7195657736, 4, Upload, 
12-21-2022-23-05-27.211,1.136978170808248e+06, 5, Upload, 
12-21-2022-23-05-27.211,0, 6, Upload, 
