Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-04.637,3, 0.0615144,0.021112,15084, Foreign,
12-21-2022-22-27-04.738,3, 0.0616258,0.018272,15084, Foreign,
12-21-2022-22-27-04.838,3, 0.0868062,0.026011,15084, Foreign,
12-21-2022-22-27-04.938,3, 0.0743853,0.02293,15084, Foreign,
12-21-2022-22-27-05.039,3, 0.1045489,0.02909,15084, Foreign,
12-21-2022-22-27-05.140,3, 0.0810995,0.022542,15084, Foreign,
12-21-2022-22-27-05.341,3, 0.091217,0.028528,15084, Foreign,
12-21-2022-22-27-05.441,3, 0.0956311,0.024566,15084, Foreign,
12-21-2022-22-27-05.241,3, 0.3436281,0.024332,15084, Foreign,
12-21-2022-22-27-05.542,3, 0.1186417,0.036215,15084, Foreign,
12-21-2022-22-27-05.743,3, 0.0808752,0.019331,15084, Foreign,
12-21-2022-22-27-05.847,3, 0.0799501,0.022594,15084, Foreign,
12-21-2022-22-27-05.955,3, 0.0873735,0.027693,15084, Foreign,
12-21-2022-22-27-06.068,3, 0.0957012,0.030915,15084, Foreign,
12-21-2022-22-27-06.169,3, 0.0600633,0.022595,15084, Foreign,
12-21-2022-22-27-06.271,3, 0.0807606,0.02782,15084, Foreign,
12-21-2022-22-27-06.372,3, 0.0887093,0.034329,15084, Foreign,
12-21-2022-22-27-06.572,3, 0.0837746,0.021285,15084, Foreign,
12-21-2022-22-27-05.643,3, 1.0897976,0.029833,6348, Foreign,
12-21-2022-22-27-06.673,3, 0.1621309,0.035786,15084, Foreign,
12-21-2022-22-27-06.781,3, 0.076031,0.028367,15084, Foreign,
12-21-2022-22-27-06.982,3, 0.0938035,0.019611,15084, Foreign,
12-21-2022-22-27-07.090,3, 0.1089695,0.036269,15084, Foreign,
12-21-2022-22-27-07.190,3, 0.1204942,0.035282,15084, Foreign,
12-21-2022-22-27-07.291,3, 0.1163243,0.034924,15084, Foreign,
12-21-2022-22-27-07.393,3, 0.1091395,0.035672,15084, Foreign,
12-21-2022-22-27-06.472,3, 1.1621208,0.030398,6348, Foreign,
12-21-2022-22-27-07.714,3, 0.0899734,0.03313,15084, Foreign,
12-21-2022-22-27-07.500,3, 0.378863,0.036097,15084, Foreign,
12-21-2022-22-27-07.929,3, 0.090251,0.033711,15084, Foreign,
12-21-2022-22-27-07.606,3, 0.4872519,0.034536,15084, Foreign,
12-21-2022-22-27-08.331,3, 0.1051159,0.035586,15084, Foreign,
12-21-2022-22-27-08.433,3, 0.0952392,0.03181,15084, Foreign,
12-21-2022-22-27-08.229,3, 0.6102205,0.031956,15084, Foreign,
12-21-2022-22-27-08.533,3, 0.3769786,0.036723,15084, Foreign,
12-21-2022-22-27-08.838,3, 0.1001103,0.033663,15084, Foreign,
12-21-2022-22-27-08.938,3, 0.1199389,0.036035,15084, Foreign,
12-21-2022-22-27-08.029,3, 1.143525,0.038359,6348, Foreign,
