Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-04.637,1, 0.0238468,0.018954,109026, SelfUp,
12-21-2022-22-27-04.637,1, 0.0435218,0.016328,15795, SelfDown,
12-21-2022-22-27-04.738,1, 0.018337,0.017691,325235, SelfUp,
12-21-2022-22-27-04.738,1, 0.0193672,0.015007,22202, SelfDown,
12-21-2022-22-27-04.838,1, 0.0267204,0.02377,538335, SelfUp,
12-21-2022-22-27-04.838,1, 0.027237,0.020345,38759, SelfDown,
12-21-2022-22-27-04.938,1, 0.0262757,0.029766,660288, SelfUp,
12-21-2022-22-27-04.938,1, 0.0487157,0.027883,47809, SelfDown,
12-21-2022-22-27-05.039,1, 0.0266051,0.022416,52868, SelfDown,
12-21-2022-22-27-05.039,1, 0.0272092,0.023482,830487, SelfUp,
12-21-2022-22-27-05.140,1, 0.0172641,0.022772,909437, SelfUp,
12-21-2022-22-27-05.140,1, 0.0246609,0.017086,58116, SelfDown,
12-21-2022-22-27-05.241,1, 0.0197171,0.028313,1026994, SelfUp,
12-21-2022-22-27-05.241,1, 0.0317829,0.023618,61233, SelfDown,
12-21-2022-22-27-05.341,1, 0.0336937,0.029772,1169408, SelfUp,
12-21-2022-22-27-05.341,1, 0.0419232,0.030713,67337, SelfDown,
12-21-2022-22-27-05.441,1, 0.0237687,0.027521,1170432, SelfUp,
12-21-2022-22-27-05.441,1, 0.0706939,0.033685,72502, SelfDown,
12-21-2022-22-27-05.542,1, 0.035669,0.031988,1170432, SelfUp,
12-21-2022-22-27-05.542,1, 0.042709,0.032634,75840, SelfDown,
12-21-2022-22-27-05.643,1, 0.0375906,0.035615,1170432, SelfUp,
12-21-2022-22-27-05.643,1, 0.0381061,0.038538,77792, SelfDown,
12-21-2022-22-27-05.743,1, 0.0232738,0.033368,1170432, SelfUp,
12-21-2022-22-27-05.743,1, 0.0317551,0.019824,82108, SelfDown,
12-21-2022-22-27-05.847,1, 0.0153598,0.03341,1170432, SelfUp,
12-21-2022-22-27-05.847,1, 0.0415789,0.032547,84082, SelfDown,
12-21-2022-22-27-05.955,1, 0.0273867,0.028899,1170432, SelfUp,
12-21-2022-22-27-05.955,1, 0.052686,0.029196,86343, SelfDown,
12-21-2022-22-27-06.068,1, 0.0497921,0.030868,89984, SelfDown,
12-21-2022-22-27-06.068,1, 0.0602947,0.033551,1170432, SelfUp,
12-21-2022-22-27-06.169,1, 0.0239199,0.027165,1170432, SelfUp,
12-21-2022-22-27-06.169,1, 0.0244489,0.028836,92378, SelfDown,
