Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
12-21-2022-22-27-05.536,4.815965669922157e+07, 1, 
12-21-2022-22-27-06.539,5.8579041925539054e+07, 2, 
12-21-2022-22-27-07.546,6.459233669028427e+07, 3, 
12-21-2022-22-27-08.546,7.07437306751982e+07, 4, 
12-21-2022-22-27-09.547,6.1205538737596095e+07, 5, 
12-21-2022-22-27-10.548,7.186699656206386e+07, 6, 
12-21-2022-22-27-11.549,6.597522912912166e+07, 7, 
12-21-2022-22-27-12.549,6.306903600030903e+07, 8, 
12-21-2022-22-27-13.557,6.824630056921859e+07, 9, 
12-21-2022-22-27-14.559,7.030965016394138e+07, 10, 
12-21-2022-22-27-15.559,6.16267277857898e+07, 11, 
12-21-2022-22-27-16.559,6.93514466352411e+07, 12, 
12-21-2022-22-27-17.563,6.395464513662875e+07, 13, 
12-21-2022-22-27-18.563,7.323799488363627e+07, 14, 
12-21-2022-22-27-19.565,5.964780192540589e+07, 15, 
12-21-2022-22-27-20.568,6.338364872569047e+07, 16, 
12-21-2022-22-27-21.567,7.509557514405808e+07, 17, 
12-21-2022-22-27-22.569,6.176290762360541e+07, 18, 
12-21-2022-22-27-23.570,6.715553141661964e+07, 19, 
12-21-2022-22-27-24.571,6.745879524882641e+07, 20, 
12-21-2022-22-27-25.573,6.985076991833988e+07, 21, 
12-21-2022-22-27-26.575,6.761024869624771e+07, 22, 
12-21-2022-22-27-27.576,6.871743996922034e+07, 23, 
12-21-2022-22-27-28.576,6.242352821888542e+07, 24, 
12-21-2022-22-27-29.576,6.175820154144563e+07, 25, 
12-21-2022-22-27-30.576,7.39830634107955e+07, 26, 
12-21-2022-22-27-31.577,6.881966601500203e+07, 27, 
12-21-2022-22-27-32.583,6.148684545523743e+07, 28, 
12-21-2022-22-27-33.584,7.156377468962976e+07, 29, 
12-21-2022-22-27-34.586,6.709008349702957e+07, 30, 
12-21-2022-22-27-35.586,7.004937821762854e+07, 31, 
12-21-2022-22-27-36.586,6.309975122836192e+07, 32, 
12-21-2022-22-27-37.586,6.953250315666515e+07, 33, 
12-21-2022-22-27-38.589,6.584719426584504e+07, 34, 
12-21-2022-22-27-39.589,6.804355412717254e+07, 35, 
12-21-2022-22-27-40.589,6.572961307739212e+07, 36, 
12-21-2022-22-27-41.590,7.037842903336202e+07, 37, 
12-21-2022-22-27-42.590,6.51854971004378e+07, 38, 
12-21-2022-22-27-43.590,6.942740879860915e+07, 39, 
12-21-2022-22-27-44.591,6.5976612469701596e+07, 40, 
12-21-2022-22-27-45.592,6.679432825761989e+07, 41, 
12-21-2022-22-27-46.592,6.443635219156184e+07, 42, 
12-21-2022-22-27-47.595,6.792723217330642e+07, 43, 
12-21-2022-22-27-48.595,6.976071000157368e+07, 44, 
12-21-2022-22-27-49.596,6.4488103723259754e+07, 45, 
12-21-2022-22-27-50.597,6.752296038988039e+07, 46, 
