Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
12-21-2022-22-27-05.536,4.815965669922157e+07, 0, Download, 
12-21-2022-22-27-05.536,1.7037215014629657e+06, 0, Upload, 
12-21-2022-22-27-06.539,5.568841272795365e+07, 0, Download, 
12-21-2022-22-27-06.539,2.8906291975854007e+06, 1, Download, 
12-21-2022-22-27-06.540,1.5010513537642348e+06, 0, Upload, 
12-21-2022-22-27-06.540,652631.0233757542, 1, Upload, 
12-21-2022-22-27-07.545,1.223570094345738e+06, 0, Upload, 
12-21-2022-22-27-07.545,798686.4714679223, 1, Upload, 
12-21-2022-22-27-07.545,929084.2627279913, 2, Upload, 
12-21-2022-22-27-07.546,4.1341052365850344e+07, 0, Download, 
12-21-2022-22-27-07.546,4.656727335611939e+06, 1, Download, 
12-21-2022-22-27-07.546,1.859455698882198e+07, 2, Download, 
12-21-2022-22-27-08.545,1.3431773230851702e+06, 0, Upload, 
12-21-2022-22-27-08.545,868929.6644409203, 1, Upload, 
12-21-2022-22-27-08.545,573821.476517589, 2, Upload, 
12-21-2022-22-27-08.545,0, 3, Upload, 
12-21-2022-22-27-08.546,3.165469432315502e+07, 0, Download, 
12-21-2022-22-27-08.546,4.994608821980374e+06, 1, Download, 
12-21-2022-22-27-08.546,3.40944275300628e+07, 2, Download, 
12-21-2022-22-27-08.546,0, 3, Download, 
12-21-2022-22-27-09.547,1.1611989238338538e+06, 0, Upload, 
12-21-2022-22-27-09.547,964939.9507915123, 1, Upload, 
12-21-2022-22-27-09.547,1.0303596084722928e+06, 2, Upload, 
12-21-2022-22-27-09.547,1.193908752674244e+06, 3, Upload, 
12-21-2022-22-27-09.547,507002.34702604887, 4, Upload, 
12-21-2022-22-27-09.547,2.1528530166749127e+07, 0, Download, 
12-21-2022-22-27-09.547,4.043870440875926e+06, 1, Download, 
12-21-2022-22-27-09.547,2.6399371868950695e+07, 2, Download, 
12-21-2022-22-27-09.547,0, 3, Download, 
12-21-2022-22-27-09.547,9.23376626102035e+06, 4, Download, 
12-21-2022-22-27-10.548,2.4149070109429732e+07, 0, Download, 
12-21-2022-22-27-10.548,3.5830514991348987e+06, 1, Download, 
12-21-2022-22-27-10.548,1.8414450816541042e+07, 2, Download, 
12-21-2022-22-27-10.548,1.014461302620771e+06, 3, Download, 
12-21-2022-22-27-10.548,2.3936935717834577e+07, 4, Download, 
12-21-2022-22-27-10.548,769027.1165028425, 5, Download, 
12-21-2022-22-27-10.548,785389.3955773711, 0, Upload, 
12-21-2022-22-27-10.548,523592.93038491404, 1, Upload, 
12-21-2022-22-27-10.548,572679.7676084997, 2, Upload, 
12-21-2022-22-27-10.548,1.1780840933660567e+06, 3, Upload, 
12-21-2022-22-27-10.548,392694.69778868556, 4, Upload, 
12-21-2022-22-27-10.548,818113.9537264282, 5, Upload, 
12-21-2022-22-27-11.548,2.325533154443542e+07, 0, Download, 
12-21-2022-22-27-11.548,2.816433258552384e+06, 1, Download, 
12-21-2022-22-27-11.548,1.6603386017622821e+07, 2, Download, 
12-21-2022-22-27-11.548,2.8654587163253003e+06, 3, Download, 
12-21-2022-22-27-11.548,1.997619067370439e+07, 4, Download, 
12-21-2022-22-27-11.548,458428.91848134773, 5, Download, 
12-21-2022-22-27-11.548,0, 6, Download, 
12-21-2022-22-27-11.548,999404.2117966064, 0, Upload, 
12-21-2022-22-27-11.548,1.3106940482578445e+06, 1, Upload, 
12-21-2022-22-27-11.548,442359.24128702254, 2, Upload, 
12-21-2022-22-27-11.548,1.0321715630030525e+06, 3, Upload, 
12-21-2022-22-27-11.548,0, 4, Upload, 
12-21-2022-22-27-11.548,458500.8790685341, 5, Upload, 
12-21-2022-22-27-11.548,0, 6, Upload, 
12-21-2022-22-27-12.549,2.4581120096186627e+07, 0, Download, 
12-21-2022-22-27-12.549,2.0474080271236652e+06, 1, Download, 
12-21-2022-22-27-12.549,1.3069443283699665e+07, 2, Download, 
12-21-2022-22-27-12.549,1.8835655467134572e+06, 3, Download, 
12-21-2022-22-27-12.549,1.7818584454746082e+07, 4, Download, 
12-21-2022-22-27-12.549,1.490496552934809e+06, 5, Download, 
12-21-2022-22-27-12.549,622405.1539727773, 6, Download, 
12-21-2022-22-27-12.549,1.5560128849319434e+06, 7, Download, 
