Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
12-21-2022-22-27-05.536,1.7037215014629657e+06, 1, 
12-21-2022-22-27-06.540,2.1536823771399893e+06, 2, 
12-21-2022-22-27-07.546,2.9513408285416514e+06, 3, 
12-21-2022-22-27-08.545,2.7859284640436796e+06, 4, 
12-21-2022-22-27-09.547,4.857409582797952e+06, 5, 
12-21-2022-22-27-10.548,4.2705548384519555e+06, 6, 
12-21-2022-22-27-11.549,4.24312994341306e+06, 7, 
12-21-2022-22-27-12.549,6.81238241843693e+06, 8, 
12-21-2022-22-27-13.557,5.039902814708374e+06, 9, 
12-21-2022-22-27-14.559,6.508591917273455e+06, 10, 
12-21-2022-22-27-15.559,9.631032114248337e+06, 11, 
12-21-2022-22-27-16.559,9.679934508361353e+06, 12, 
12-21-2022-22-27-17.563,1.0609473908729794e+07, 13, 
12-21-2022-22-27-18.563,8.303707799270842e+06, 14, 
12-21-2022-22-27-19.565,6.785143766779842e+06, 15, 
12-21-2022-22-27-20.568,1.0087375746024936e+07, 16, 
12-21-2022-22-27-21.567,9.902160539227212e+06, 17, 
12-21-2022-22-27-22.569,9.56161944502416e+06, 18, 
12-21-2022-22-27-23.570,1.0953354615347331e+07, 19, 
12-21-2022-22-27-24.571,1.0324773384479638e+07, 20, 
12-21-2022-22-27-25.573,8.975154129847739e+06, 21, 
12-21-2022-22-27-26.575,1.1086475058766536e+07, 22, 
12-21-2022-22-27-27.576,1.148356366916628e+07, 23, 
12-21-2022-22-27-28.576,8.86328399556063e+06, 24, 
12-21-2022-22-27-29.576,1.141834939684377e+07, 25, 
12-21-2022-22-27-30.576,7.436242332083025e+06, 26, 
12-21-2022-22-27-31.577,1.049454566210776e+07, 27, 
12-21-2022-22-27-32.583,1.0244761714758243e+07, 28, 
12-21-2022-22-27-33.585,8.931686943376938e+06, 29, 
12-21-2022-22-27-34.586,1.0914036792387994e+07, 30, 
12-21-2022-22-27-35.586,9.764116068709133e+06, 31, 
12-21-2022-22-27-36.586,1.1549914970926527e+07, 32, 
12-21-2022-22-27-37.586,1.0545971339070903e+07, 33, 
12-21-2022-22-27-38.589,9.887068427236835e+06, 34, 
12-21-2022-22-27-39.589,1.2511520551391225e+07, 35, 
12-21-2022-22-27-40.589,1.1340510694277272e+07, 36, 
12-21-2022-22-27-41.590,1.1037129670793606e+07, 37, 
12-21-2022-22-27-42.590,1.126913017733082e+07, 38, 
12-21-2022-22-27-43.590,1.2155790218035594e+07, 39, 
12-21-2022-22-27-44.591,1.0836365329371331e+07, 40, 
12-21-2022-22-27-45.592,1.1506798460252477e+07, 41, 
12-21-2022-22-27-46.592,1.15482267378473e+07, 42, 
12-21-2022-22-27-47.595,8.626263762431212e+06, 43, 
12-21-2022-22-27-48.595,1.3251997649271555e+07, 44, 
12-21-2022-22-27-49.596,1.012967005570986e+07, 45, 
12-21-2022-22-27-50.597,1.1394468102881435e+07, 46, 
